creation(s),filtering(s),bfs(s),overall runtime(s),whole memory usage(byte)
0.0003490447998046875,0.0001738866170247396,0.0,0.0005229314168294271,10179
0.0004988511403401693,0.00033664703369140625,0.0,0.0008354981740315756,10179
0.00033402442932128906,0.0003325144449869792,0.0,0.0006665388743082683,10195
0.0006658236185709635,0.0,0.00033624966939290363,0.0010020732879638672,10515
0.0003383954366048177,0.00033275286356608075,0.0,0.0006711483001708984,12715
0.0006743272145589193,0.0,0.0,0.0006743272145589193,10195
0.0008289019266764323,0.0,0.0,0.0008289019266764323,13635
0.0010750293731689453,0.00033092498779296875,0.0,0.001405954360961914,4205
0.0013345877329508464,0.0,0.0,0.0013345877329508464,4205
0.00033346811930338543,0.0,0.0,0.00033346811930338543,4205
0.0,0.00033219655354817707,0.0,0.00033219655354817707,4205
0.0005009969075520834,0.0,0.0,0.0005009969075520834,4205
0.0003333886464436849,0.0,0.0,0.0003333886464436849,4205
0.0,0.0,0.0,0.0,4205
0.0,0.0003311634063720703,0.0,0.0003311634063720703,13491
0.00042374928792317707,0.0,0.0,0.00042374928792317707,9795
0.00016887982686360678,0.0,0.0,0.00016887982686360678,4205
0.0,0.0,0.00046642621358235675,0.00046642621358235675,4205
